[2016-11-13 15:32:19,028 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:19,058 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:19,088 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:19,118 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:19,148 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:19,178 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:19,209 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:19,243 - taobao_input_msg]INFO:  ascii:8(Back) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:19,490 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:19,887 - taobao_input_msg]INFO:  ascii:106(J) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:21,801 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:23,986 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:24,191 - taobao_input_msg]INFO:  ascii:106(J) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:24,479 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:25,105 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:25,312 - taobao_input_msg]INFO:  ascii:106(J) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:25,519 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:27,447 - taobao_input_msg]INFO:  current page:ÌÔ±¦Íø - ÌÔ£¡ÎÒÏ²»¶ - Mozilla Firefox - PictureKeyboardMouse.py:44
[2016-11-13 15:32:27,448 - taobao_input_msg]ERROR:  information:liukunzjzzjzzjz - PictureKeyboardMouse.py:45
[2016-11-13 15:32:30,829 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:31,438 - taobao_input_msg]INFO:  ascii:104(H) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:32,473 - taobao_input_msg]INFO:  ascii:97(A) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:32,709 - taobao_input_msg]INFO:  ascii:110(N) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:32,921 - taobao_input_msg]INFO:  ascii:103(G) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:33,247 - taobao_input_msg]INFO:  ascii:106(J) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:33,403 - taobao_input_msg]INFO:  ascii:105(I) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:33,720 - taobao_input_msg]INFO:  ascii:110(N) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:33,976 - taobao_input_msg]INFO:  ascii:122(Z) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:34,256 - taobao_input_msg]INFO:  ascii:104(H) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:34,499 - taobao_input_msg]INFO:  ascii:105(I) - PictureKeyboardMouse.py:72
[2016-11-13 15:32:35,973 - taobao_input_msg]INFO:  current page:ÌÔ±¦Íø - ÌÔ£¡ÎÒÏ²»¶ - Mozilla Firefox - PictureKeyboardMouse.py:44
[2016-11-13 15:32:35,973 - taobao_input_msg]ERROR:  information:zhangjinzhi - PictureKeyboardMouse.py:45
