Beautiful Soup,Lxml,Regular expressions
0.023000001907348633,0.03299999237060547,0.013000011444091797
0.046000003814697266,0.037000179290771484,0.026999950408935547
0.06800007820129395,0.0410001277923584,0.037999868392944336
0.09099984169006348,0.04400014877319336,0.046000003814697266
0.11299991607666016,0.04800009727478027,0.05499982833862305
0.1380000114440918,0.05200004577636719,0.06399989128112793
0.16299986839294434,0.0559999942779541,0.06699991226196289
0.18499994277954102,0.05900001525878906,0.0709998607635498
0.2089998722076416,0.06299996376037598,0.07399988174438477
0.23199987411499023,0.06700015068054199,0.07699990272521973
0.2539999485015869,0.0710000991821289,0.07999992370605469
0.2779998779296875,0.07400012016296387,0.0839998722076416
0.2999999523162842,0.07800006866455078,0.08699989318847656
0.32399988174438477,0.0820000171661377,0.08999991416931152
0.3489999771118164,0.08599996566772461,0.09299993515014648
0.37199997901916504,0.09000015258789062,0.09599995613098145
0.39499998092651367,0.09400010108947754,0.09999990463256836
0.41700005531311035,0.09800004959106445,0.10299992561340332
0.43899989128112793,0.10199999809265137,0.10599994659423828
0.46199989318847656,0.10600018501281738,0.10899996757507324
0.48399996757507324,0.1100001335144043,0.1119999885559082
0.5069999694824219,0.11300015449523926,0.11500000953674316
0.5290000438690186,0.11700010299682617,0.11899995803833008
0.5529999732971191,0.12100005149841309,0.12199997901916504
0.5750000476837158,0.125,0.125
0.5999999046325684,0.12900018692016602,0.12799978256225586
0.622999906539917,0.13199996948242188,0.13099980354309082
0.6449999809265137,0.1360001564025879,0.13499999046325684
0.6689999103546143,0.1400001049041748,0.1380000114440918
0.6919999122619629,0.14400005340576172,0.14099979400634766
0.7139999866485596,0.14800000190734863,0.14399981498718262
0.7360000610351562,0.15200018882751465,0.14699983596801758
0.7599999904632568,0.15600013732910156,0.14999985694885254
0.7829999923706055,0.16000008583068848,0.15399980545043945
0.806999921798706,0.16300010681152344,0.15799999237060547
0.8309998512268066,0.16700005531311035,0.16100001335144043
0.8529999256134033,0.17100000381469727,0.1639997959136963
0.875,0.17500019073486328,0.1679999828338623
0.9010000228881836,0.17799997329711914,0.17199993133544922
0.9259998798370361,0.18200016021728516,0.17499995231628418
0.9519999027252197,0.18600010871887207,0.17799997329711914
0.9760000705718994,0.19000005722045898,0.18199992179870605
0.997999906539917,0.1940000057220459,0.18499994277954102
1.0199999809265137,0.19800019264221191,0.18799996376037598
